127.0.0.1, 2018-05-10 23:41:57, GET, /sos/static/js/web2py.js, HTTP/1.1, 200, 0.022456
127.0.0.1, 2018-05-10 23:41:57, GET, /sos/static/js/marked.min.js, HTTP/1.1, 200, 0.034812
127.0.0.1, 2018-05-10 23:41:57, GET, /sos/static/js/vue.min.js, HTTP/1.1, 200, 0.034603
127.0.0.1, 2018-05-10 23:41:57, GET, /sos/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.003403
127.0.0.1, 2018-05-10 23:41:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000675
127.0.0.1, 2018-05-10 23:42:03, GET, /sos/default/user, HTTP/1.1, 303, 0.086470
127.0.0.1, 2018-05-10 23:42:04, GET, /sos/default/user/login, HTTP/1.1, 200, 0.096515
127.0.0.1, 2018-05-10 23:42:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000253
127.0.0.1, 2018-05-10 23:42:06, POST, /sos/default/user/login, HTTP/1.1, 200, 0.122444
127.0.0.1, 2018-05-10 23:42:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000521
127.0.0.1, 2018-05-10 23:42:09, GET, /sos/default/user/request_reset_password, HTTP/1.1, 200, 0.084607
127.0.0.1, 2018-05-10 23:42:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000434
127.0.0.1, 2018-05-10 23:42:11, GET, /sos/default/index, HTTP/1.1, 200, 0.084683
127.0.0.1, 2018-05-10 23:42:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000678
127.0.0.1, 2018-05-10 23:42:12, GET, /admin/default/site, HTTP/1.1, 200, 0.044251
127.0.0.1, 2018-05-10 23:42:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000331
127.0.0.1, 2018-05-10 23:42:15, GET, /sos/default/index, HTTP/1.1, 200, 0.102454
127.0.0.1, 2018-05-10 23:42:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000251
127.0.0.1, 2018-05-10 23:42:34, GET, /sos/default/index, HTTP/1.1, 200, 0.088863
127.0.0.1, 2018-05-10 23:42:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000255
127.0.0.1, 2018-05-10 23:42:35, GET, /admin/default/site, HTTP/1.1, 200, 0.043290
127.0.0.1, 2018-05-10 23:42:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000301
127.0.0.1, 2018-05-10 23:42:55, GET, /start/default/index, HTTP/1.1, 200, 0.355070
127.0.0.1, 2018-05-10 23:42:55, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.004309
127.0.0.1, 2018-05-10 23:42:55, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.031190
127.0.0.1, 2018-05-10 23:42:55, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.044691
127.0.0.1, 2018-05-10 23:42:55, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.000820
127.0.0.1, 2018-05-10 23:42:55, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.034125
127.0.0.1, 2018-05-10 23:42:55, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.035396
127.0.0.1, 2018-05-10 23:42:55, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.000775
127.0.0.1, 2018-05-10 23:42:55, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.043400
127.0.0.1, 2018-05-10 23:42:55, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.051136
127.0.0.1, 2018-05-10 23:42:55, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.078588
127.0.0.1, 2018-05-10 23:42:55, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.070968
127.0.0.1, 2018-05-10 23:42:55, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.005566
127.0.0.1, 2018-05-10 23:42:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000466
127.0.0.1, 2018-05-10 23:43:01, GET, /start/default/entry1, HTTP/1.1, 404, 0.022051
127.0.0.1, 2018-05-10 23:43:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000674
127.0.0.1, 2018-05-10 23:43:03, GET, /start/default/index, HTTP/1.1, 200, 0.030520
127.0.0.1, 2018-05-10 23:43:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000495
127.0.0.1, 2018-05-10 23:43:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000417
127.0.0.1, 2018-05-10 23:43:09, GET, /start/default/user/register, HTTP/1.1, 200, 0.037640
127.0.0.1, 2018-05-10 23:43:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000466
127.0.0.1, 2018-05-10 23:43:11, GET, /start/default/index, HTTP/1.1, 200, 0.031111
127.0.0.1, 2018-05-10 23:43:12, GET, /favicon.ico, HTTP/1.1, 400, 0.011269
127.0.0.1, 2018-05-10 23:43:13, GET, /admin/default/site, HTTP/1.1, 200, 0.048492
127.0.0.1, 2018-05-10 23:43:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000526
127.0.0.1, 2018-05-10 23:43:29, GET, /admin/default/design/sos, HTTP/1.1, 200, 0.243089
127.0.0.1, 2018-05-10 23:43:29, GET, /admin/static/_2.16.1/images/search.png, HTTP/1.1, 200, 0.010741
127.0.0.1, 2018-05-10 23:43:29, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.003301
127.0.0.1, 2018-05-10 23:43:29, GET, /admin/static/_2.16.1/images/delete_icon.png, HTTP/1.1, 200, 0.004182
127.0.0.1, 2018-05-10 23:43:29, GET, /admin/static/_2.16.1/images/test_icon.png, HTTP/1.1, 200, 0.003602
